participant,slider.response,scale,label,item_type,item_no,correct_option,AC_correct,AC_no_correct,AC_outcome,literacy,ageResp.text,genderResp1.response,edu_slider.response,total_duration
1,0.49380805,extend,blank,﻿E,11,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.41124871,extend,blank,﻿E,23,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.516511868,extend,label,﻿E,18,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.5,extend,blank,﻿E,28,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.58875129,trunc,label,﻿E,5,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.528895769,extend,label,﻿E,9,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.553663571,extend,label,﻿E,21,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.770381837,trunc,label,﻿E,34,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.832301342,trunc,label,﻿E,29,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.557791538,extend,label,﻿E,6,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.933436533,trunc,blank,﻿E,20,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.826109391,trunc,blank,﻿E,39,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.791021672,trunc,blank,﻿E,15,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.830237358,trunc,blank,﻿E,44,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.869453044,trunc,blank,﻿E,36,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0,trunc,label,﻿AC,49,0,TRUE,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.440144479,extend,label,﻿E,33,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.753869969,trunc,label,﻿E,41,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.669246646,trunc,blank,﻿E,27,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.502063983,extend,blank,﻿E,16,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.535087719,extend,label,﻿E,30,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.419504644,extend,label,﻿E,38,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.512383901,extend,label,﻿E,42,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.524767802,extend,blank,﻿E,47,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.551599587,extend,blank,﻿E,7,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.533023736,extend,blank,﻿E,31,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.900412797,trunc,blank,﻿E,48,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.559855521,extend,blank,﻿E,40,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.780701754,trunc,blank,﻿E,3,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0,extend,blank,﻿AC,50,0,TRUE,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.824045408,trunc,label,﻿E,25,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.473168215,extend,blank,﻿E,43,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.5,extend,label,﻿AC,52,0.5,TRUE,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.566047472,extend,label,﻿E,2,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.972652219,trunc,label,﻿E,13,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.844685243,trunc,blank,﻿E,32,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.570175439,extend,blank,﻿E,35,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.516511868,extend,label,﻿E,14,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
2,0.318518603,extend,blank,﻿E,19,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.818518603,trunc,label,﻿E,25,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.425925926,extend,blank,﻿E,47,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.431481538,extend,blank,﻿E,7,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.338888945,extend,label,﻿E,45,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.411111196,extend,blank,﻿E,11,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.977777834,trunc,label,﻿E,13,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,1,extend,blank,﻿AC,54,1,TRUE,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.961111139,trunc,blank,﻿E,32,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.455555527,extend,label,﻿E,42,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.498148176,extend,label,﻿E,14,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.399999972,extend,label,﻿E,21,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.990740741,trunc,blank,﻿E,20,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.996296353,trunc,blank,﻿E,36,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.659259231,extend,blank,﻿E,43,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.5,trunc,blank,﻿AC,51,0.5,TRUE,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0,extend,blank,﻿AC,50,0,TRUE,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.442592621,extend,blank,﻿E,28,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.5,extend,label,﻿E,38,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.524074131,extend,blank,﻿E,40,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.992592564,trunc,label,﻿E,5,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.996296353,trunc,label,﻿E,34,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.959259316,trunc,blank,﻿E,24,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.972222222,trunc,label,﻿E,41,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.557407379,extend,label,﻿E,33,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.459259316,extend,blank,﻿E,31,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.407407407,trunc,label,﻿E,22,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.557407379,extend,label,﻿E,9,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.966666751,trunc,label,﻿E,1,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.975926011,trunc,label,﻿E,10,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.974074046,trunc,label,﻿E,29,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0,trunc,label,﻿AC,49,0,TRUE,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.474074046,extend,blank,﻿E,4,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.983333305,trunc,blank,﻿E,44,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.538888861,extend,label,﻿E,6,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,1,trunc,label,﻿AC,53,1,TRUE,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.977777834,trunc,blank,﻿E,27,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.5,extend,label,﻿AC,52,0.5,TRUE,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.983333305,trunc,label,﻿E,37,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.974074046,trunc,label,﻿E,46,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.587037122,extend,label,﻿E,26,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.575925898,extend,blank,﻿E,16,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.983333305,trunc,label,﻿E,17,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.622222194,extend,label,﻿E,2,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.60555564,extend,blank,﻿E,23,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.972222222,trunc,blank,﻿E,3,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.979629658,trunc,blank,﻿E,12,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.607407464,extend,label,﻿E,30,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.583333333,extend,blank,﻿E,35,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.987037094,trunc,blank,﻿E,39,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.609259288,extend,label,﻿E,18,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.998148176,trunc,blank,﻿E,8,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.972222222,trunc,blank,﻿E,15,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
2,0.988888917,trunc,blank,﻿E,48,NA,NA,6,PASS,21,20,Man,High school diploma/A-levels,307.722
3,0.894494048,trunc,blank,﻿E,39,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.393766534,extend,blank,﻿E,19,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.873503638,trunc,blank,﻿E,48,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.911069775,trunc,blank,﻿E,24,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.937144511,trunc,blank,﻿E,27,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.43832672,extend,label,﻿E,38,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.5,extend,blank,﻿AC,54,1,FALSE,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,1,trunc,label,﻿AC,53,1,TRUE,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.833622685,trunc,label,﻿E,22,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.425190146,extend,blank,﻿E,23,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.914575066,trunc,label,﻿E,1,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.5,extend,label,﻿AC,52,0.5,TRUE,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,1,trunc,blank,﻿AC,51,0.5,FALSE,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.334656085,extend,label,﻿E,26,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,1,trunc,label,﻿AC,49,0,FALSE,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.889310516,trunc,blank,﻿E,20,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.386392196,extend,blank,﻿E,4,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.953497024,trunc,label,﻿E,29,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.934928902,trunc,blank,﻿E,8,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.434077381,extend,label,﻿E,33,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.375653108,extend,blank,﻿E,35,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.930911045,trunc,blank,﻿E,36,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.378439153,extend,label,﻿E,6,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.451438492,extend,blank,﻿E,31,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.432655423,extend,label,﻿E,18,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.916658399,trunc,blank,﻿E,3,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.936863426,trunc,label,﻿E,13,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.441311177,extend,label,﻿E,21,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.393683862,extend,label,﻿E,42,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.923487103,trunc,blank,﻿E,12,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.962161045,trunc,label,﻿E,25,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.420229828,extend,label,﻿E,30,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.926868386,trunc,blank,﻿E,32,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.933515212,trunc,label,﻿E,17,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.5,extend,blank,﻿AC,50,0,FALSE,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.411772487,extend,label,﻿E,14,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.432349537,extend,label,﻿E,9,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.972371032,trunc,label,﻿E,10,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.451066468,extend,blank,﻿E,43,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.467278439,extend,blank,﻿E,16,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.933705357,trunc,label,﻿E,37,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.480580357,extend,label,﻿E,2,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.43823578,extend,blank,﻿E,7,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.484722222,extend,blank,﻿E,11,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.923553241,trunc,blank,﻿E,44,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.476785714,extend,blank,﻿E,28,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.93640873,trunc,blank,﻿E,15,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.854307209,trunc,label,﻿E,46,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.430720899,extend,label,﻿E,45,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.91880787,trunc,label,﻿E,41,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.401612103,extend,blank,﻿E,40,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.459796627,extend,blank,﻿E,47,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.884623016,trunc,label,﻿E,34,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
3,0.794212963,trunc,label,﻿E,5,NA,NA,2,FAIL,30,24,Man,Undergraduate degree (BA/BSc/other),343.4783
4,0.990740741,trunc,blank,﻿E,24,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.996296353,trunc,label,﻿E,29,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.857407464,trunc,blank,﻿E,3,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.920370455,trunc,blank,﻿E,8,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.588888945,extend,blank,﻿E,4,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.655555584,extend,blank,﻿E,35,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.633333418,extend,blank,﻿E,47,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.509259259,extend,label,﻿E,14,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.585185157,extend,label,﻿E,18,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.585185157,extend,blank,﻿E,31,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.399999972,extend,label,﻿E,33,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.990740741,trunc,label,﻿E,37,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.5,extend,blank,﻿AC,50,0,FALSE,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.825925898,trunc,label,﻿E,46,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.664814843,extend,label,﻿E,30,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.940740797,trunc,blank,﻿E,27,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.998148176,trunc,label,﻿E,25,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.574074074,extend,label,﻿E,2,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.592592593,extend,label,﻿E,9,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.5,extend,label,﻿AC,52,0.5,TRUE,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.764814871,trunc,blank,﻿E,15,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.998148176,trunc,label,﻿E,5,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.998148176,trunc,label,﻿E,41,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.398148148,extend,blank,﻿E,11,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.937037009,trunc,label,﻿E,22,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.990740741,trunc,label,﻿E,13,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.990740741,trunc,blank,﻿E,20,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.5,extend,blank,﻿AC,54,1,FALSE,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.994444529,trunc,label,﻿E,1,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.422222279,extend,blank,﻿E,16,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.601851852,extend,label,﻿E,6,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,1,trunc,blank,﻿AC,51,0.5,FALSE,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.988888917,trunc,blank,﻿E,44,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.988888917,trunc,blank,﻿E,36,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.988888917,trunc,label,﻿E,34,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.527777778,extend,label,﻿E,38,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.57222225,extend,label,﻿E,26,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0,trunc,label,﻿AC,49,0,TRUE,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.585185157,extend,label,﻿E,21,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.807407379,trunc,blank,﻿E,32,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,1,trunc,label,﻿AC,53,1,TRUE,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.990740741,trunc,blank,﻿E,39,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.53333339,extend,blank,﻿E,19,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.992592564,trunc,blank,﻿E,12,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.53333339,extend,label,﻿E,45,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.612962935,extend,label,﻿E,42,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.594444416,extend,blank,﻿E,40,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.953703704,trunc,label,﻿E,10,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.596296381,extend,blank,﻿E,7,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.637037065,extend,blank,﻿E,28,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.979629658,trunc,blank,﻿E,48,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.994444529,trunc,label,﻿E,17,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.66851849,extend,blank,﻿E,43,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
4,0.540740826,extend,blank,﻿E,23,NA,NA,3,FAIL,15,24,Woman,Undergraduate degree (BA/BSc/other),406.2168
5,0.748148148,trunc,label,﻿E,17,NA,NA,5,PASS,20,29,Woman,Undergraduate degree (BA/BSc/other),402.9847
5,0.5,trunc,label,﻿AC,49,0,FALSE,5,PASS,20,29,Woman,Undergraduate degree (BA/BSc/other),402.9847
5,0,extend,blank,﻿AC,50,0,TRUE,5,PASS,20,29,Woman,Undergraduate degree (BA/BSc/other),402.9847
5,0.52037037,trunc,blank,﻿E,32,NA,NA,5,PASS,20,29,Woman,Undergraduate degree (BA/BSc/other),402.9847
5,0.351851852,extend,label,﻿E,14,NA,NA,5,PASS,20,29,Woman,Undergraduate degree (BA/BSc/other),402.9847
5,0.351851852,extend,label,﻿E,6,NA,NA,5,PASS,20,29,Woman,Undergraduate degree (BA/BSc/other),402.9847
5,0.907407407,trunc,label,﻿E,25,NA,NA,5,PASS,20,29,Woman,Undergraduate degree (BA/BSc/other),402.9847
5,0.868518519,trunc,blank,﻿E,44,NA,NA,5,PASS,20,29,Woman,Undergraduate degree (BA/BSc/other),402.9847
